atom_id,old_gw_facility,new_gw_facility,delta_gw,reason_code,finding_ids,net_impact_raw_western_gw,net_impact_non_stretch_gw,net_impact_conservative_gw,net_impact_probability_weighted_gw,notes
anthropic_aws_incremental_new_capacity,3.800,1.973,-1.827,dedupe_correction,F1;F4,-1.827,-1.827,0.000,-1.060,"Rev-4.2: partial dedupe applied for Madison 0.819 GW and Ridgeland 1.008 GW Epoch Rainier candidates; remaining AWS/Anthropic capacity is site-unallocated. New Carlisle (1.229 GW Epoch ""confident"" Rainier) treated as pre-existing per Anthropic Apr 20 ""new capacity"" framing."
openai_microsoft_fairwater_international,0.805,0.300,-0.505,source_replace,F8,-0.505,-0.505,-0.505,-0.444,"Rev-4.2: replaced broad 805 MW midpoint with named primary-supported Narvik 230 MW plus Loughton 50-90 MW central."
nscale_microsoft_contract_capacity,0.900,0.240,-0.660,"dedupe_correction;source_replace",F8,-0.660,-0.660,0.000,-0.383,"Rev-4.2: kept Ward County/Cedarvale roughly 240 MW floor; Narvik/Loughton deduped to Fairwater International row; Texas 700 MW option moved to high range only."
crusoe_cheyenne_or_other_future_capacity,1.980,1.800,-0.180,tier_correction,F6,-0.180,-0.180,-1.980,-0.500,"Rev-4.2: Cheyenne (Project Jade) retained as 1.8 GW site-plan capacity but demoted from T3 to T4 per tier criteria (no firm tenant/take-or-pay); Abilene remains excluded as Epoch overlap."
reliance_jio_jamnagar,1.000,0.880,-0.120,sovereign_split,F9,0.000,0.000,0.000,0.000,"Rev-4.2 split: existing Reliance row becomes sovereign stretch residual after splitting out the near-term 120 MW Jamnagar tranche."
reliance_jio_jamnagar_near_term_120mw,0.000,0.120,0.120,sovereign_split,F9,0.000,0.000,0.000,0.000,"Rev-4.2 split: new sovereign annex row for reported near-term Jamnagar tranche; no Western denominator impact."
uk_culham_ai_growth_zone,0.300,0.180,-0.120,sovereign_split,F9,0.000,0.000,0.000,0.000,"Rev-4.2 split: existing Culham row becomes scale-out residual beyond the 100 MW initial opportunity; central total remains 300 MW when combined with initial row."
uk_culham_ai_growth_zone_initial_100mw,0.000,0.120,0.120,sovereign_split,F9,0.000,0.000,0.000,0.000,"Rev-4.2 split: new sovereign annex row for UKAEA/Culham initial 100 MW IT opportunity converted to 120 MW facility at PUE 1.2."
coreweave_operational_disclosed,0.850,0.000,-0.850,dedupe_correction,F5,-0.850,-0.850,-0.850,-0.850,"Rev-4.3 (REVIEWER #5 FIX): CoreWeave 10-K reports 43 DC with over 850 MW active power AND total contracted power capacity approximately 3.1 GW. The 850 MW active is a SUBSET of the 3.1 GW contracted, not additive. Atom retained for tier-table T1 visibility but excluded (included_*=false) from all totals to avoid double-counting against coreweave_contracted_ex_epoch (2.300 GW = 3.1 contracted - 0.8 Helios already in Epoch)."
anthropic_azure_incremental_capacity,1.180,0.590,-0.590,dedupe_correction,F3,-0.590,0.000,0.000,-0.177,"Rev-4.3 (REVIEWER #3 FIX): Microsoft Azure Blog (2026-01-05) and NVIDIA IR (2026-01-05) confirm Vera Rubin (the chip class Anthropic uses on Azure) deploys at Fairwater Wisconsin and Atlanta. Central case applies 50%% Fairwater overlap assumption: 0.295 GW Wisconsin + 0.295 GW Atlanta = 0.590 GW dedupe; capacity_mw_facility 1180 -> 590. Range 0-1180 spans full Fairwater carve-out to full net-new. Probability 0.30 unchanged. Weighted contribution 354 MW -> 177 MW."
