id,status,site,country,region_iso,operator,anchor_tenant,gw_facility,gw_facility_low,gw_facility_high,basis,online_year,source,source_url,source_date,last_checked,notes
epoch_microsoft_fairwater_wisconsin_op,operational,Microsoft Fairwater Wisconsin,United States,MISO,Microsoft,"OpenAI, Microsoft",0.555,0.555,0.555,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Microsoft AI WAN #confident [#confident] [scope=western]
epoch_microsoft_fairwater_wisconsin_bo,under_construction,Microsoft Fairwater Wisconsin,United States,MISO,Microsoft,"OpenAI, Microsoft",2.773,2.773,2.773,facility,2027,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Microsoft AI WAN #confident [#confident] [scope=western]
epoch_openai_stargate_new_mexico_bo,under_construction,OpenAI Stargate New Mexico,United States,non-ISO NM,Oracle,OpenAI,2.21,2.21,2.21,facility,2028,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Stargate #confident [#confident] [scope=western]
epoch_openai_stargate_shackelford_bo,under_construction,OpenAI Stargate Shackelford,United States,ERCOT,Oracle,OpenAI,1.96,1.96,1.96,facility,2028,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Stargate #confident [#confident] [scope=western]
epoch_meta_hyperion_bo,under_construction,Meta Hyperion,United States,MISO-S,Meta,Meta,2.262,2.262,2.262,facility,2028,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Hyperion #confident [#confident] [scope=western]
epoch_qts_cedar_rapids_bo,under_construction,QTS Cedar Rapids,United States,MISO,—,—,1.587,1.587,1.587,facility,2027,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_openai_stargate_michigan_bo,under_construction,OpenAI Stargate Michigan,United States,MISO,Oracle,OpenAI,1.383,1.383,1.383,facility,2028,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Stargate #confident [#confident] [scope=western]
epoch_openai_stargate_wisconsin_bo,under_construction,OpenAI Stargate Wisconsin,United States,MISO,Oracle,OpenAI,1.3,1.3,1.3,facility,2028,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Stargate #confident [#confident] [scope=western]
epoch_openai_stargate_milam_bo,under_construction,OpenAI Stargate Milam,United States,ERCOT,Softbank,OpenAI,1.2,1.2,1.2,facility,2028,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Stargate #confident [#confident] [scope=western]
epoch_openai_stargate_uae_bo,under_construction,OpenAI Stargate UAE,United Arab Emirates,United Arab Emirates,G42,OpenAI,1.4,1.4,1.4,facility,2028,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Stargate #confident [#confident] [scope=sovereign]
epoch_goodnight_bo,under_construction,Goodnight,United States,ERCOT,Google,Google DeepMind,1.0876,1.0876,1.0876,facility,2027,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_crusoe_abilene_expansion_bo,under_construction,Crusoe Abilene Expansion,United States,ERCOT,Microsoft,Microsoft,0.941,0.941,0.941,facility,2027,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_google_fort_wayne_bo,under_construction,Google Fort Wayne,United States,MISO,Google,Google DeepMind,1.035,1.035,1.035,facility,2028,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Project Zodiac [] [scope=western]
epoch_xai_colossus_2_op,operational,xAI Colossus 2,United States,TVA,xAI,xAI,0.302,0.302,0.302,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_xai_colossus_2_bo,under_construction,xAI Colossus 2,United States,TVA,xAI,xAI,1.192,1.192,1.192,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_google_cedar_rapids_op,operational,Google Cedar Rapids,United States,MISO,Google,Google DeepMind,0.105,0.105,0.105,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_google_cedar_rapids_bo,under_construction,Google Cedar Rapids,United States,MISO,Google,Google DeepMind,0.522,0.522,0.522,facility,2028,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_meta_prometheus_op,operational,Meta Prometheus,United States,PJM,Meta,Meta,0.531,0.531,0.531,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Prometheus #confident [#confident] [scope=western]
epoch_meta_prometheus_bo,under_construction,Meta Prometheus,United States,PJM,Meta,Meta,0.579,0.579,0.579,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Prometheus #confident [#confident] [scope=western]
epoch_openai_stargate_abilene_op,operational,OpenAI Stargate Abilene,United States,ERCOT,Oracle,OpenAI,0.295,0.295,0.295,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Stargate #confident [#confident] [scope=western]
epoch_openai_stargate_abilene_bo,under_construction,OpenAI Stargate Abilene,United States,ERCOT,Oracle,OpenAI,0.885,0.885,0.885,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Stargate #confident [#confident] [scope=western]
epoch_anthropic_amazon_new_carlisle_op,operational,Anthropic-Amazon New Carlisle,United States,MISO,Amazon,Anthropic,1.092,1.092,1.092,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Project Rainier #confident [#confident] [scope=western]
epoch_anthropic_amazon_new_carlisle_bo,under_construction,Anthropic-Amazon New Carlisle,United States,MISO,Amazon,Anthropic,0.137,0.137,0.137,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Project Rainier #confident [#confident] [scope=western]
epoch_microsoft_fairwater_atlanta_op,operational,Microsoft Fairwater Atlanta,United States,SERC,Microsoft,OpenAI,0.433,0.433,0.433,facility,op.,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Microsoft AI WAN #confident [#confident] [scope=western]
epoch_microsoft_fairwater_atlanta_bo,under_construction,Microsoft Fairwater Atlanta,United States,SERC,Microsoft,OpenAI,0.426,0.426,0.426,facility,2026,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Microsoft AI WAN #confident [#confident] [scope=western]
epoch_coreweave_helios_bo,under_construction,Coreweave Helios,United States,United States,Coreweave,Microsoft,0.8,0.8,0.8,facility,2029,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=n/a [] [scope=western]
epoch_amazon_ridgeland_bo,under_construction,Amazon Ridgeland,United States,MISO-S,Amazon,Anthropic,1.008,1.008,1.008,facility,2027,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-29,Epoch site; project=Project Rainier #speculative [#speculative] [scope=western]
