layer_id,sub_id,label,cost_usd_m_per_mw_low,cost_usd_m_per_mw_high,cost_usd_m_per_mw_central,basis,vintage,evidence_tier,layer_dominating,inflation_flag,primary_source_publisher,primary_source_url,retrieval_date,notes
shell_civil_land,land_tier_1_nova,Land - Tier 1 Northern Virginia,0.30,1.50,0.80,facility_mw,2025,T1,FALSE,"Loudoun avg DC-zoned land +59% YoY 2024-25",Loudoun Now,https://www.loudounnow.com/news/loudoun-land-data-center-values-soar-while-home-assessments-hold-steady/article_d7977ab6-f33b-4dc2-8203-d53bc9a8ebc4.html,2026-04-27,"5-8 ac/100 MW × $3-6M/ac"
shell_civil_land,land_tier_2_3,Land - Tier 2/3 (PHX/ATL/OH/TX),0.05,0.40,0.15,facility_mw,2025,T1,FALSE,,Phoenix Metro Home Search,https://www.phoenixmetrohomesearch.com/blog/global-data-center-giant-pays-300-million-for-land-in-east-valley,2026-04-27,"NTT Mesa $1.7M/acre record"
shell_civil_land,land_tier_4_rural,Land - Tier 4 rural (LA/MS/Mt Pleasant),0.01,0.075,0.03,facility_mw,2025,T1,FALSE,,Urban Milwaukee,https://urbanmilwaukee.com/2024/07/30/microsoft-buys-more-land-in-mount-pleasant-for-data-center/,2026-04-27,"Mt Pleasant $165k/acre"
shell_civil_land,site_civil_utilities_permitting,Site civil + utilities + permitting,0.30,1.20,0.70,facility_mw,2025,T3,FALSE,,Cushman & Wakefield,https://www.cushmanwakefield.com/en/united-states/insights/data-center-development-cost-guide,2026-04-27,"Heavy fill / rock pushes high end"
shell_civil_land,building_shell,Building shell (tilt-up / structural steel),1.4,2.5,1.9,facility_mw,2025,T3,FALSE,,DPR Construction,https://www.dpr.com/media/blog/digital-realty-tilt-up,2026-04-27,"7000 sq ft/MW × $200-350/sq ft"
shell_civil_land,base_fitout,"Base fit-out (raised floor, fire, BMS, security)",1.5,2.5,2.0,facility_mw,2025,T3,FALSE,,Cushman & Wakefield,https://www.cushmanwakefield.com/en/united-states/insights/data-center-development-cost-guide,2026-04-27,"20-25% of total construction"
shell_civil_land,ai_fitout_delta,AI fit-out delta (busway / CDU / leak det / BMS),1.0,3.0,1.8,facility_mw,2026,T3,FALSE,"AI-DC premium 7-10% above cloud",Turner & Townsend,https://reports.turnerandtownsend.com/data-centre-construction-cost-index-2025/data-centre-cost-trends,2026-04-27,
cooling,dlc_cold_plates_manifolds,DLC cold plates + manifolds,0.25,0.50,0.35,facility_mw,2025,T2,FALSE,,Deep Fundamental,https://deepfundamental.substack.com/p/deep-dive-liquid-cooling,2026-04-27,"CoolIT ~$20k/rack × 7 racks/MW"
cooling,cdus,CDUs (coolant distribution units),0.30,0.70,0.50,facility_mw,2025,T2,FALSE,,Schneider Electric / Motivair,https://www.se.com/us/en/about-us/newsroom/news/press-releases/schneider-electric-unveils-liquid-cooling-portfolio-with-motivair-featuring-dedicated-solutions-and-services-for-hpc-and-ai-workloads-68da975376d417f4a10de42c/,2026-04-27,"MCDU-70 family 105 kW to 2.5 MW"
cooling,facility_water_loop_tcs,Facility water loop / TCS piping,0.15,0.30,0.22,facility_mw,2024,T5,FALSE,,ASHRAE TC9.9 / DCD,https://www.datacenterdynamics.com/en/news/ashrae-publishes-liquid-cooling-guidelines-as-chip-power-moves-into-uncharted-territory/,2026-04-27,
