atom_id,scope,tier,site_or_region,operator,anchor_tenant,gw_facility_central,gw_facility_low,gw_facility_high,gw_it_central,pue,online_year,status,realization_prob,in_western_raw_horizon,in_sovereign_sidebar,in_conservative_T1T2T3,source_publisher,source_url,source_date,last_checked,tier_rationale,tier_rationale_quote,dedupe_group,dedupe_adjustment_mw,dedupe_direction,double_count_risk,notes
epoch_anthropic_amazon_new_carlisle_operational,Western,T1,Anthropic-Amazon New Carlisle,Amazon,Anthropic,1.092,1.092,1.092,0.9414,1.16,op.,operational,1.0,true,false,true,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-22,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Epoch current facility power for Anthropic-Amazon New Carlisle; project=Project Rainier #confident; country=United States.,epoch_site:Anthropic-Amazon New Carlisle,0,counted_once_as_epoch_site,—,Epoch current facility power for Anthropic-Amazon New Carlisle; project=Project Rainier #confident; country=United States.
epoch_qts_richmond_operational,Western,T1,QTS Richmond,QTS,(unspecified),0.854,0.854,0.854,0.7362,1.16,op.,operational,1.0,true,false,true,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-22,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Epoch current facility power for QTS Richmond; project=n/a; country=United States.,epoch_site:QTS Richmond,0,counted_once_as_epoch_site,—,Epoch current facility power for QTS Richmond; project=n/a; country=United States.
epoch_microsoft_fairwater_wisconsin_operational,Western,T1,Microsoft Fairwater Wisconsin,Microsoft,"OpenAI, Microsoft",0.555,0.555,0.555,0.4784,1.16,op.,operational,1.0,true,false,true,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-22,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Epoch current facility power for Microsoft Fairwater Wisconsin; project=Microsoft AI WAN #confident; country=United States.,epoch_site:Microsoft Fairwater Wisconsin,0,counted_once_as_epoch_site,—,Epoch current facility power for Microsoft Fairwater Wisconsin; project=Microsoft AI WAN #confident; country=United States.
epoch_meta_prometheus_operational,Western,T1,Meta Prometheus,Meta,Meta,0.531,0.531,0.531,0.4578,1.16,op.,operational,1.0,true,false,true,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-22,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Epoch current facility power for Meta Prometheus; project=Prometheus #confident; country=United States.,epoch_site:Meta Prometheus,0,counted_once_as_epoch_site,—,Epoch current facility power for Meta Prometheus; project=Prometheus #confident; country=United States.
epoch_microsoft_fairwater_atlanta_operational,Western,T1,Microsoft Fairwater Atlanta,Microsoft,OpenAI,0.433,0.433,0.433,0.3733,1.16,op.,operational,1.0,true,false,true,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-22,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Epoch current facility power for Microsoft Fairwater Atlanta; project=Microsoft AI WAN #confident; country=United States.,epoch_site:Microsoft Fairwater Atlanta,0,counted_once_as_epoch_site,—,Epoch current facility power for Microsoft Fairwater Atlanta; project=Microsoft AI WAN #confident; country=United States.
epoch_xai_colossus_1_operational,Western,T1,xAI Colossus 1,xAI,xAI,0.425,0.425,0.425,0.3664,1.16,op.,operational,1.0,true,false,true,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-22,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Epoch current facility power for xAI Colossus 1; project=n/a; country=United States.,epoch_site:xAI Colossus 1,0,counted_once_as_epoch_site,—,Epoch current facility power for xAI Colossus 1; project=n/a; country=United States.
epoch_google_new_albany_operational,Western,T1,Google New Albany,Google,Google DeepMind,0.407,0.407,0.407,0.3509,1.16,op.,operational,1.0,true,false,true,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-22,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Epoch current facility power for Google New Albany; project=n/a; country=United States.,epoch_site:Google New Albany,0,counted_once_as_epoch_site,—,Epoch current facility power for Google New Albany; project=n/a; country=United States.
epoch_amazon_madison_mega_site_operational,Western,T1,Amazon Madison Mega Site,Amazon,Anthropic,0.341,0.341,0.341,0.294,1.16,op.,operational,1.0,true,false,true,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-22,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Epoch current facility power for Amazon Madison Mega Site; project=Project Rainier #speculative; country=United States.,epoch_site:Amazon Madison Mega Site,0,counted_once_as_epoch_site,—,Epoch current facility power for Amazon Madison Mega Site; project=Project Rainier #speculative; country=United States.
epoch_microsoft_goodyear_operational,Western,T1,Microsoft Goodyear,Microsoft,OpenAI,0.263,0.263,0.263,0.2267,1.16,op.,operational,1.0,true,false,true,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-22,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Epoch current facility power for Microsoft Goodyear; project=n/a; country=United States.,epoch_site:Microsoft Goodyear,0,counted_once_as_epoch_site,—,Epoch current facility power for Microsoft Goodyear; project=n/a; country=United States.
epoch_openai_stargate_abilene_operational,Western,T1,OpenAI Stargate Abilene,Oracle,OpenAI,0.2,0.2,0.2,0.1724,1.16,op.,operational,1.0,true,false,true,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-22,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Epoch current facility power for OpenAI Stargate Abilene; project=Stargate #confident; country=United States.,epoch_site:OpenAI Stargate Abilene,0,counted_once_as_epoch_site,—,Epoch current facility power for OpenAI Stargate Abilene; project=Stargate #confident; country=United States.
crusoe_norway_iceland_operational,Western,T1,Norway and Iceland operational sites,Crusoe,merchant,0.2,0.2,0.2,0.16,1.25,op.,operational,1.0,true,false,true,Crusoe,https://www.crusoe.ai/resources/newsroom/crusoe-announces-new-900-mw-ai-factory-campus-in-abilene-texas-to-support-microsoft-ai-infrastructure,2026-04-24,2026-04-25,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Operational ex-Epoch Crusoe capacity in Norway/Iceland and Abilene phase context.,crusoe_norway_iceland_operational,0,none,—,Operational ex-Epoch Crusoe capacity in Norway/Iceland and Abilene phase context.
epoch_meta_temple_operational,Western,T1,Meta Temple,Meta,Meta,0.198,0.198,0.198,0.1707,1.16,op.,operational,1.0,true,false,true,Epoch AI Frontier Data Centers,https://epoch.ai/data/data-centers,2026-04-20,2026-04-22,T1 per Rev-4.1 evidence tier; see docs/tier_table.md pending Rev-4.2 research adjudication.,Epoch current facility power for Meta Temple; project=n/a; country=United States.,epoch_site:Meta Temple,0,counted_once_as_epoch_site,—,Epoch current facility power for Meta Temple; project=n/a; country=United States.
